"Pathogen","table_id","Food_category","Year","Serotype","Burden","Trajectory","Year_range","No_of_illnesses","Hospitalization(s)","Burden_sort_order","Trajectory_sort_order","Master_sort_order"
"Salmonella","Pork_Eastbourne_2017-2021","Pork","2,021","Eastbourne","Low","Increased","2017-2021","21",,"3","1","7"
"Salmonella","Pork_Muenster_2012-2016","Pork","2,021","Muenster","Low","Increased","2012-2016","0",,"3","1","7"
"Salmonella","Pork_Muenster_2017-2021","Pork","2,021","Muenster","Low","Increased","2017-2021","4",,"3","1","7"
"Salmonella","Pork_Agona_2012-2016","Pork","2,021","Agona","No outbreak illnesses","Decreased","2012-2016","15",,"4","3","10"
"Salmonella","Pork_Agona_2017-2021","Pork","2,021","Agona","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Pork_Braenderup_2012-2016","Pork","2,021","Braenderup","No outbreak illnesses","Decreased","2012-2016","8",,"4","3","10"
"Salmonella","Pork_Braenderup_2017-2021","Pork","2,021","Braenderup","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Pork_Enteritidis_2012-2016","Pork","2,021","Enteritidis","No outbreak illnesses","Decreased","2012-2016","41",,"4","3","10"
"Salmonella","Pork_Enteritidis_2017-2021","Pork","2,021","Enteritidis","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Pork_Goldcoast_2012-2016","Pork","2,021","Goldcoast","No outbreak illnesses","Decreased","2012-2016","12",,"4","3","10"
"Salmonella","Pork_Goldcoast_2017-2021","Pork","2,021","Goldcoast","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Pork_Javiana_2012-2016","Pork","2,021","Javiana","No outbreak illnesses","Decreased","2012-2016","41",,"4","3","10"
"Salmonella","Pork_Javiana_2017-2021","Pork","2,021","Javiana","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Pork_Mbandaka_2012-2016","Pork","2,021","Mbandaka","No outbreak illnesses","Decreased","2012-2016","27",,"4","3","10"
"Salmonella","Pork_Mbandaka_2017-2021","Pork","2,021","Mbandaka","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Pork_Newport_2012-2016","Pork","2,021","Newport","No outbreak illnesses","Decreased","2012-2016","20",,"4","3","10"
"Salmonella","Pork_Newport_2017-2021","Pork","2,021","Newport","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Pork_Thompson_2012-2016","Pork","2,021","Thompson","No outbreak illnesses","Decreased","2012-2016","11",,"4","3","10"
"Salmonella","Pork_Thompson_2017-2021","Pork","2,021","Thompson","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Pork_Uganda_2012-2016","Pork","2,021","Uganda","No outbreak illnesses","Decreased","2012-2016","19",,"4","3","10"
"Salmonella","Pork_Uganda_2017-2021","Pork","2,021","Uganda","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Turkey_Enteritidis_2012-2016","Turkey","2,021","Enteritidis","High","Increased","2012-2016","74",,"1","1","1"
"Salmonella","Turkey_Enteritidis_2017-2021","Turkey","2,021","Enteritidis","High","Increased","2017-2021","584",,"1","1","1"
"Salmonella","Turkey_Reading_2012-2016","Turkey","2,021","Reading","High","Increased","2012-2016","17",,"1","1","1"
"Salmonella","Turkey_Reading_2017-2021","Turkey","2,021","Reading","High","Increased","2017-2021","367",,"1","1","1"
"Salmonella","Turkey_Hadar_2012-2016","Turkey","2,021","Hadar","Moderate","Increased","2012-2016","0",,"2","1","4"
"Salmonella","Turkey_Hadar_2017-2021","Turkey","2,021","Hadar","Moderate","Increased","2017-2021","51",,"2","1","4"
"Salmonella","Turkey_Newport_2012-2016","Turkey","2,021","Newport","Low","Increased","2012-2016","0",,"3","1","7"
"Salmonella","Turkey_Newport_2017-2021","Turkey","2,021","Newport","Low","Increased","2017-2021","9",,"3","1","7"
"Salmonella","Turkey_Anatum_2012-2016","Turkey","2,021","Anatum","Low","Increased","2012-2016","0",,"3","1","7"
"Salmonella","Turkey_Anatum_2017-2021","Turkey","2,021","Anatum","Low","Increased","2017-2021","8",,"3","1","7"
"Salmonella","Turkey_Schwarzengrund_2012-2016","Turkey","2,021","Schwarzengrund","Low","Increased","2012-2016","0",,"3","1","7"
"Salmonella","Turkey_Schwarzengrund_2017-2021","Turkey","2,021","Schwarzengrund","Low","Increased","2017-2021","7",,"3","1","7"
"Salmonella","Turkey_I 4,[5],12:i:-_2012-2016","Turkey","2,021","I 4,[5],12:i:-","Low","Decreased","2012-2016","10",,"3","3","9"
"Salmonella","Turkey_I 4,[5],12:i:-_2017-2021","Turkey","2,021","I 4,[5],12:i:-","Low","Decreased","2017-2021","3",,"3","3","9"
"Salmonella","Turkey_Braenderup_2012-2016","Turkey","2,021","Braenderup","No outbreak illnesses","Decreased","2012-2016","4",,"4","3","10"
"Salmonella","Turkey_Braenderup_2017-2021","Turkey","2,021","Braenderup","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Turkey_Javiana_2012-2016","Turkey","2,021","Javiana","No outbreak illnesses","Decreased","2012-2016","20",,"4","3","10"
"Salmonella","Turkey_Javiana_2017-2021","Turkey","2,021","Javiana","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Turkey_Muenchen_2012-2016","Turkey","2,021","Muenchen","No outbreak illnesses","Decreased","2012-2016","14",,"4","3","10"
"Salmonella","Turkey_Muenchen_2017-2021","Turkey","2,021","Muenchen","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Turkey_Saintpaul_2012-2016","Turkey","2,021","Saintpaul","No outbreak illnesses","Decreased","2012-2016","13",,"4","3","10"
"Salmonella","Turkey_Saintpaul_2017-2021","Turkey","2,021","Saintpaul","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Turkey_Typhimurium_2012-2016","Turkey","2,021","Typhimurium","No outbreak illnesses","Decreased","2012-2016","7",,"4","3","10"
"Salmonella","Turkey_Typhimurium_2017-2021","Turkey","2,021","Typhimurium","No outbreak illnesses","Decreased","2017-2021","0",,"4","3","10"
"Salmonella","Beef_Newport_2013-2017","Beef","2,022","Newport","High","Increased","2013-2017","286","60","1","1","1"
"Salmonella","Beef_Newport_2018-2022","Beef","2,022","Newport","High","Increased","2018-2022","551","166","1","1","1"
"Salmonella","Beef_Brandenburg_2013-2017","Beef","2,022","Brandenburg","High","Increased","2013-2017","0","0","1","1","1"
"Salmonella","Beef_Brandenburg_2018-2022","Beef","2,022","Brandenburg","High","Increased","2018-2022","139","51","1","1","1"
"Salmonella","Beef_Typhimurium_2013-2017","Beef","2,022","Typhimurium","Moderate","Stable","2013-2017","56","13","2","2","5"
"Salmonella","Beef_Typhimurium_2018-2022","Beef","2,022","Typhimurium","Moderate","Stable","2018-2022","78","16","2","2","5"
"Salmonella","Beef_Dublin_2013-2017","Beef","2,022","Dublin","Low","Increased","2013-2017","0","0","3","1","7"
"Salmonella","Beef_Dublin_2018-2022","Beef","2,022","Dublin","Low","Increased","2018-2022","51","16","3","1","7"
"Salmonella","Beef_I 4,[5],12:i:-_2013-2017","Beef","2,022","I 4,[5],12:i:-","Low","Increased","2013-2017","0","0","3","1","7"
"Salmonella","Beef_I 4,[5],12:i:-_2018-2022","Beef","2,022","I 4,[5],12:i:-","Low","Increased","2018-2022","25","5","3","1","7"
"Salmonella","Beef_Oranienburg_2013-2017","Beef","2,022","Oranienburg","Low","Increased","2013-2017","0","0","3","1","7"
"Salmonella","Beef_Oranienburg_2018-2022","Beef","2,022","Oranienburg","Low","Increased","2018-2022","18","2","3","1","7"
"Salmonella","Beef_Uganda_2013-2017","Beef","2,022","Uganda","Low","Stable","2013-2017","25","2","3","2","8"
"Salmonella","Beef_Uganda_2018-2022","Beef","2,022","Uganda","Low","Stable","2018-2022","18","1","3","2","8"
"Salmonella","Beef_Braenderup_2013-2017","Beef","2,022","Braenderup","No outbreak illnesses","Decreased","2013-2017","11","3","4","3","10"
"Salmonella","Beef_Braenderup_2018-2022","Beef","2,022","Braenderup","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Beef_Enteritidis_2013-2017","Beef","2,022","Enteritidis","No outbreak illnesses","Decreased","2013-2017","6","1","4","3","10"
"Salmonella","Beef_Enteritidis_2018-2022","Beef","2,022","Enteritidis","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Beef_Heidelberg_2013-2017","Beef","2,022","Heidelberg","No outbreak illnesses","Decreased","2013-2017","32","6","4","3","10"
"Salmonella","Beef_Heidelberg_2018-2022","Beef","2,022","Heidelberg","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Beef_Javiana_2013-2017","Beef","2,022","Javiana","No outbreak illnesses","Decreased","2013-2017","7","0","4","3","10"
"Salmonella","Beef_Javiana_2018-2022","Beef","2,022","Javiana","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Beef_Muenchen_2013-2017","Beef","2,022","Muenchen","No outbreak illnesses","Decreased","2013-2017","3","1","4","3","10"
"Salmonella","Beef_Muenchen_2018-2022","Beef","2,022","Muenchen","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Beef_Potsdam_2013-2017","Beef","2,022","Potsdam","No outbreak illnesses","Decreased","2013-2017","9","1","4","3","10"
"Salmonella","Beef_Potsdam_2018-2022","Beef","2,022","Potsdam","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Chicken_Enteritidis_2013-2017","Chicken","2,022","Enteritidis","High","Increased","2013-2017","389","24","1","1","1"
"Salmonella","Chicken_Enteritidis_2018-2022","Chicken","2,022","Enteritidis","High","Increased","2018-2022","600","148","1","1","1"
"Salmonella","Chicken_Blockley_2013-2017","Chicken","2,022","Blockley","High","Increased","2013-2017","0","0","1","1","1"
"Salmonella","Chicken_Blockley_2018-2022","Chicken","2,022","Blockley","High","Increased","2018-2022","146","10","1","1","1"
"Salmonella","Chicken_Infantis_2013-2017","Chicken","2,022","Infantis","High","Increased","2013-2017","68","1","1","1","1"
"Salmonella","Chicken_Infantis_2018-2022","Chicken","2,022","Infantis","High","Increased","2018-2022","143","30","1","1","1"
"Salmonella","Chicken_Typhimurium_2013-2017","Chicken","2,022","Typhimurium","Moderate","Increased","2013-2017","0","0","2","1","4"
"Salmonella","Chicken_Typhimurium_2018-2022","Chicken","2,022","Typhimurium","Moderate","Increased","2018-2022","85","22","2","1","4"
"Salmonella","Chicken_Braenderup_2013-2017","Chicken","2,022","Braenderup","Low","Increased","2013-2017","10","0","3","1","7"
"Salmonella","Chicken_Braenderup_2018-2022","Chicken","2,022","Braenderup","Low","Increased","2018-2022","80","18","3","1","7"
"Salmonella","Chicken_Heidelberg_2013-2017","Chicken","2,022","Heidelberg","Low","Decreased","2013-2017","779","227","3","3","9"
"Salmonella","Chicken_Heidelberg_2018-2022","Chicken","2,022","Heidelberg","Low","Decreased","2018-2022","33","11","3","3","9"
"Salmonella","Chicken_Thompson_2013-2017","Chicken","2,022","Thompson","Low","Decreased","2013-2017","140","13","3","3","9"
"Salmonella","Chicken_Thompson_2018-2022","Chicken","2,022","Thompson","Low","Decreased","2018-2022","15","2","3","3","9"
"Salmonella","Chicken_Paratyphi B_2013-2017","Chicken","2,022","Paratyphi B","Low","Increased","2013-2017","0","0","3","1","7"
"Salmonella","Chicken_Paratyphi B_2018-2022","Chicken","2,022","Paratyphi B","Low","Increased","2018-2022","7","3","3","1","7"
"Salmonella","Chicken_Sandiego_2013-2017","Chicken","2,022","Sandiego","Low","Increased","2013-2017","0","0","3","1","7"
"Salmonella","Chicken_Sandiego_2018-2022","Chicken","2,022","Sandiego","Low","Increased","2018-2022","3","0","3","1","7"
"Salmonella","Chicken_Anatum_2013-2017","Chicken","2,022","Anatum","No outbreak illnesses","Decreased","2013-2017","4","0","4","3","10"
"Salmonella","Chicken_Anatum_2018-2022","Chicken","2,022","Anatum","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Chicken_Carmel_2013-2017","Chicken","2,022","Carmel","No outbreak illnesses","Decreased","2013-2017","33","1","4","3","10"
"Salmonella","Chicken_Carmel_2018-2022","Chicken","2,022","Carmel","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Chicken_Derby_2013-2017","Chicken","2,022","Derby","No outbreak illnesses","Decreased","2013-2017","3","0","4","3","10"
"Salmonella","Chicken_Derby_2018-2022","Chicken","2,022","Derby","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Chicken_I 4,[5],12:i:-_2013-2017","Chicken","2,022","I 4,[5],12:i:-","No outbreak illnesses","Decreased","2013-2017","95","31","4","3","10"
"Salmonella","Chicken_I 4,[5],12:i:-_2018-2022","Chicken","2,022","I 4,[5],12:i:-","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Chicken_Javiana_2013-2017","Chicken","2,022","Javiana","No outbreak illnesses","Decreased","2013-2017","2","1","4","3","10"
"Salmonella","Chicken_Javiana_2018-2022","Chicken","2,022","Javiana","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Chicken_Montevideo_2013-2017","Chicken","2,022","Montevideo","No outbreak illnesses","Decreased","2013-2017","5","0","4","3","10"
"Salmonella","Chicken_Montevideo_2018-2022","Chicken","2,022","Montevideo","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Chicken_Muenchen_2013-2017","Chicken","2,022","Muenchen","No outbreak illnesses","Decreased","2013-2017","3","0","4","3","10"
"Salmonella","Chicken_Muenchen_2018-2022","Chicken","2,022","Muenchen","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Chicken_Norwich_2013-2017","Chicken","2,022","Norwich","No outbreak illnesses","Decreased","2013-2017","10","1","4","3","10"
"Salmonella","Chicken_Norwich_2018-2022","Chicken","2,022","Norwich","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Chicken_Oranienburg_2013-2017","Chicken","2,022","Oranienburg","No outbreak illnesses","Decreased","2013-2017","4","0","4","3","10"
"Salmonella","Chicken_Oranienburg_2018-2022","Chicken","2,022","Oranienburg","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Chicken_Saintpaul_2013-2017","Chicken","2,022","Saintpaul","No outbreak illnesses","Decreased","2013-2017","70","12","4","3","10"
"Salmonella","Chicken_Saintpaul_2018-2022","Chicken","2,022","Saintpaul","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Pork_I 4,[5],12:i:-_2013-2017","Pork","2,022","I 4,[5],12:i:-","High","Decreased","2013-2017","492","67","1","3","3"
"Salmonella","Pork_I 4,[5],12:i:-_2018-2022","Pork","2,022","I 4,[5],12:i:-","High","Decreased","2018-2022","158","35","1","3","3"
"Salmonella","Pork_Typhimurium_2013-2017","Pork","2,022","Typhimurium","High","Decreased","2013-2017","347","36","1","3","3"
"Salmonella","Pork_Typhimurium_2018-2022","Pork","2,022","Typhimurium","High","Decreased","2018-2022","144","14","1","3","3"
"Salmonella","Pork_Muenchen_2013-2017","Pork","2,022","Muenchen","Moderate","Increased","2013-2017","0","0","2","1","4"
"Salmonella","Pork_Muenchen_2018-2022","Pork","2,022","Muenchen","Moderate","Increased","2018-2022","99","4","2","1","4"
"Salmonella","Pork_Infantis_2013-2017","Pork","2,022","Infantis","Moderate","Increased","2013-2017","10","5","2","1","4"
"Salmonella","Pork_Infantis_2018-2022","Pork","2,022","Infantis","Moderate","Increased","2018-2022","95","18","2","1","4"
"Salmonella","Pork_Adelaide_2013-2017","Pork","2,022","Adelaide","Low","Increased","2013-2017","14","2","3","1","7"
"Salmonella","Pork_Adelaide_2018-2022","Pork","2,022","Adelaide","Low","Increased","2018-2022","48","5","3","1","7"
"Salmonella","Pork_Berta_2013-2017","Pork","2,022","Berta","Low","Increased","2013-2017","0","0","3","1","7"
"Salmonella","Pork_Berta_2018-2022","Pork","2,022","Berta","Low","Increased","2018-2022","30","6","3","1","7"
"Salmonella","Pork_Eastbourne_2013-2017","Pork","2,022","Eastbourne","Low","Increased","2013-2017","0","0","3","1","7"
"Salmonella","Pork_Eastbourne_2018-2022","Pork","2,022","Eastbourne","Low","Increased","2018-2022","21","7","3","1","7"
"Salmonella","Pork_Muenster_2013-2017","Pork","2,022","Muenster","Low","Increased","2013-2017","0","0","3","1","7"
"Salmonella","Pork_Muenster_2018-2022","Pork","2,022","Muenster","Low","Increased","2018-2022","4","0","3","1","7"
"Salmonella","Pork_Agona_2013-2017","Pork","2,022","Agona","No outbreak illnesses","Decreased","2013-2017","15","0","4","3","10"
"Salmonella","Pork_Agona_2018-2022","Pork","2,022","Agona","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Pork_Braenderup_2013-2017","Pork","2,022","Braenderup","No outbreak illnesses","Decreased","2013-2017","8","2","4","3","10"
"Salmonella","Pork_Braenderup_2018-2022","Pork","2,022","Braenderup","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Pork_Enteritidis_2013-2017","Pork","2,022","Enteritidis","No outbreak illnesses","Decreased","2013-2017","41","5","4","3","10"
"Salmonella","Pork_Enteritidis_2018-2022","Pork","2,022","Enteritidis","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Pork_Goldcoast_2013-2017","Pork","2,022","Goldcoast","No outbreak illnesses","Decreased","2013-2017","12","1","4","3","10"
"Salmonella","Pork_Goldcoast_2018-2022","Pork","2,022","Goldcoast","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Pork_Javiana_2013-2017","Pork","2,022","Javiana","No outbreak illnesses","Decreased","2013-2017","41","4","4","3","10"
"Salmonella","Pork_Javiana_2018-2022","Pork","2,022","Javiana","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Pork_Mbandaka_2013-2017","Pork","2,022","Mbandaka","No outbreak illnesses","Decreased","2013-2017","27","0","4","3","10"
"Salmonella","Pork_Mbandaka_2018-2022","Pork","2,022","Mbandaka","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Pork_Newport_2013-2017","Pork","2,022","Newport","No outbreak illnesses","Decreased","2013-2017","27","4","4","3","10"
"Salmonella","Pork_Newport_2018-2022","Pork","2,022","Newport","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Pork_Schwarzengrund_2013-2017","Pork","2,022","Schwarzengrund","No outbreak illnesses","Decreased","2013-2017","30","11","4","3","10"
"Salmonella","Pork_Schwarzengrund_2018-2022","Pork","2,022","Schwarzengrund","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Pork_Thompson_2013-2017","Pork","2,022","Thompson","No outbreak illnesses","Decreased","2013-2017","11","4","4","3","10"
"Salmonella","Pork_Thompson_2018-2022","Pork","2,022","Thompson","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Pork_Uganda_2013-2017","Pork","2,022","Uganda","No outbreak illnesses","Decreased","2013-2017","12","2","4","3","10"
"Salmonella","Pork_Uganda_2018-2022","Pork","2,022","Uganda","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Turkey_Hadar_2013-2017","Turkey","2,022","Hadar","High","Increased","2013-2017","0","0","1","1","1"
"Salmonella","Turkey_Hadar_2018-2022","Turkey","2,022","Hadar","High","Increased","2018-2022","51","12","1","1","1"
"Salmonella","Turkey_I 4,[5],12:i:-_2013-2017","Turkey","2,022","I 4,[5],12:i:-","High","Increased","2013-2017","10","0","1","1","1"
"Salmonella","Turkey_I 4,[5],12:i:-_2018-2022","Turkey","2,022","I 4,[5],12:i:-","High","Increased","2018-2022","28","2","1","1","1"
"Salmonella","Turkey_Enteritidis_2013-2017","Turkey","2,022","Enteritidis","Moderate","Decreased","2013-2017","654","17","2","3","6"
"Salmonella","Turkey_Enteritidis_2018-2022","Turkey","2,022","Enteritidis","Moderate","Decreased","2018-2022","16","3","2","3","6"
"Salmonella","Turkey_Newport_2013-2017","Turkey","2,022","Newport","Low","Increased","2013-2017","0","0","3","1","7"
"Salmonella","Turkey_Newport_2018-2022","Turkey","2,022","Newport","Low","Increased","2018-2022","9","1","3","1","7"
"Salmonella","Turkey_Anatum_2013-2017","Turkey","2,022","Anatum","Low","Increased","2013-2017","0","0","3","1","7"
"Salmonella","Turkey_Anatum_2018-2022","Turkey","2,022","Anatum","Low","Increased","2018-2022","8","1","3","1","7"
"Salmonella","Turkey_Schwarzengrund_2013-2017","Turkey","2,022","Schwarzengrund","Low","Increased","2013-2017","0","0","3","1","7"
"Salmonella","Turkey_Schwarzengrund_2018-2022","Turkey","2,022","Schwarzengrund","Low","Increased","2018-2022","7","1","3","1","7"
"Salmonella","Turkey_Braenderup_2013-2017","Turkey","2,022","Braenderup","No outbreak illnesses","Decreased","2013-2017","4","0","4","3","10"
"Salmonella","Turkey_Braenderup_2018-2022","Turkey","2,022","Braenderup","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Turkey_Javiana_2013-2017","Turkey","2,022","Javiana","No outbreak illnesses","Decreased","2013-2017","20","1","4","3","10"
"Salmonella","Turkey_Javiana_2018-2022","Turkey","2,022","Javiana","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Turkey_Muenchen_2013-2017","Turkey","2,022","Muenchen","No outbreak illnesses","Decreased","2013-2017","14","1","4","3","10"
"Salmonella","Turkey_Muenchen_2018-2022","Turkey","2,022","Muenchen","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Turkey_Reading_2013-2017","Turkey","2,022","Reading","No outbreak illnesses","Decreased","2013-2017","375","133","4","3","10"
"Salmonella","Turkey_Reading_2018-2022","Turkey","2,022","Reading","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Turkey_Saintpaul_2013-2017","Turkey","2,022","Saintpaul","No outbreak illnesses","Decreased","2013-2017","11","4","4","3","10"
"Salmonella","Turkey_Saintpaul_2018-2022","Turkey","2,022","Saintpaul","No outbreak illnesses","Decreased","2018-2022","0","0","4","3","10"
"Salmonella","Beef_Brandenburg_2014-2018","Beef","2,023","Brandenburg","High","Increased","2014-2018","0","0","1","1","1"
"Salmonella","Beef_Brandenburg_2019-2023","Beef","2,023","Brandenburg","High","Increased","2019-2023","139","51","1","1","1"
"Salmonella","Beef_Typhimurium_2014-2018","Beef","2,023","Typhimurium","High","Increased","2014-2018","51","11","1","1","1"
"Salmonella","Beef_Typhimurium_2019-2023","Beef","2,023","Typhimurium","High","Increased","2019-2023","122","32","1","1","1"
"Salmonella","Beef_Newport_2014-2018","Beef","2,023","Newport","Moderate","Decreased","2014-2018","550","169","2","3","6"
"Salmonella","Beef_Newport_2019-2023","Beef","2,023","Newport","Moderate","Decreased","2019-2023","109","42","2","3","6"
"Salmonella","Beef_I 4,[5],12:i:-_2014-2018","Beef","2,023","I 4,[5],12:i:-","Moderate","Increased","2014-2018","0","0","2","1","4"
"Salmonella","Beef_I 4,[5],12:i:-_2019-2023","Beef","2,023","I 4,[5],12:i:-","Moderate","Increased","2019-2023","25","5","2","1","4"
"Salmonella","Beef_Saintpaul_2014-2018","Beef","2,023","Saintpaul","Low","Increased","2014-2018","0","0","3","1","7"
"Salmonella","Beef_Saintpaul_2019-2023","Beef","2,023","Saintpaul","Low","Increased","2019-2023","18","17","3","1","7"
"Salmonella","Beef_Oranienburg_2014-2018","Beef","2,023","Oranienburg","Low","Increased","2014-2018","0","0","3","1","7"
"Salmonella","Beef_Oranienburg_2019-2023","Beef","2,023","Oranienburg","Low","Increased","2019-2023","18","2","3","1","7"
"Salmonella","Beef_Uganda_2014-2018","Beef","2,023","Uganda","Low","Increased","2014-2018","0","0","3","1","7"
"Salmonella","Beef_Uganda_2019-2023","Beef","2,023","Uganda","Low","Increased","2019-2023","18","1","3","1","7"
"Salmonella","Beef_Dublin_2014-2018","Beef","2,023","Dublin","Low","Decreased","2014-2018","38","7","3","3","9"
"Salmonella","Beef_Dublin_2019-2023","Beef","2,023","Dublin","Low","Decreased","2019-2023","13","9","3","3","9"
"Salmonella","Beef_Braenderup_2014-2018","Beef","2,023","Braenderup","No outbreak illnesses","Decreased","2014-2018","11","3","4","3","10"
"Salmonella","Beef_Braenderup_2019-2023","Beef","2,023","Braenderup","No outbreak illnesses","Decreased","2019-2023","0","0","4","3","10"
"Salmonella","Beef_Enteritidis_2014-2018","Beef","2,023","Enteritidis","No outbreak illnesses","Decreased","2014-2018","6","1","4","3","10"
"Salmonella","Beef_Enteritidis_2019-2023","Beef","2,023","Enteritidis","No outbreak illnesses","Decreased","2019-2023","0","0","4","3","10"
"Salmonella","Beef_Heidelberg_2014-2018","Beef","2,023","Heidelberg","No outbreak illnesses","Decreased","2014-2018","32","6","4","3","10"
"Salmonella","Beef_Heidelberg_2019-2023","Beef","2,023","Heidelberg","No outbreak illnesses","Decreased","2019-2023","0","0","4","3","10"
"Salmonella","Beef_Muenchen_2014-2018","Beef","2,023","Muenchen","No outbreak illnesses","Decreased","2014-2018","3","1","4","3","10"
"Salmonella","Beef_Muenchen_2019-2023","Beef","2,023","Muenchen","No outbreak illnesses","Decreased","2019-2023","0","0","4","3","10"
"Salmonella","Beef_Potsdam_2014-2018","Beef","2,023","Potsdam","No outbreak illnesses","Decreased","2014-2018","9","1","4","3","10"
"Salmonella","Beef_Potsdam_2019-2023","Beef","2,023","Potsdam","No outbreak illnesses","Decreased","2019-2023","0","0","4","3","10"
"Salmonella","Chicken_Enteritidis_2014-2018","Chicken","2,023","Enteritidis","High","Stable","2014-2018","441","41","1","2","2"
"Salmonella","Chicken_Enteritidis_2019-2023","Chicken","2,023","Enteritidis","High","Stable","2019-2023","624","132","1","2","2"
"Salmonella","Chicken_Blockley_2014-2018","Chicken","2,023","Blockley","High","Increased","2014-2018","51","7","1","1","1"
"Salmonella","Chicken_Blockley_2019-2023","Chicken","2,023","Blockley","High","Increased","2019-2023","95","3","1","1","1"
"Salmonella","Chicken_Thompson_2014-2018","Chicken","2,023","Thompson","Moderate","Decreased","2014-2018","140","13","2","3","6"
"Salmonella","Chicken_Thompson_2019-2023","Chicken","2,023","Thompson","Moderate","Decreased","2019-2023","34","4","2","3","6"
"Salmonella","Chicken_Heidelberg_2014-2018","Chicken","2,023","Heidelberg","Moderate","Decreased","2014-2018","99","16","2","3","6"
"Salmonella","Chicken_Heidelberg_2019-2023","Chicken","2,023","Heidelberg","Moderate","Decreased","2019-2023","31","11","2","3","6"
"Salmonella","Chicken_Infantis_2014-2018","Chicken","2,023","Infantis","Low","Decreased","2014-2018","197","26","3","3","9"
"Salmonella","Chicken_Infantis_2019-2023","Chicken","2,023","Infantis","Low","Decreased","2019-2023","14","5","3","3","9"
"Salmonella","Chicken_Johannesburg_2014-2018","Chicken","2,023","Johannesburg","Low","Increased","2014-2018","0","0","3","1","7"
"Salmonella","Chicken_Johannesburg_2019-2023","Chicken","2,023","Johannesburg","Low","Increased","2019-2023","11","0","3","1","7"
"Salmonella","Chicken_Braenderup_2014-2018","Chicken","2,023","Braenderup","Low","Decreased","2014-2018","80","16","3","3","9"
"Salmonella","Chicken_Braenderup_2019-2023","Chicken","2,023","Braenderup","Low","Decreased","2019-2023","10","2","3","3","9"
"Salmonella","Chicken_Sandiego_2014-2018","Chicken","2,023","Sandiego","Low","Increased","2014-2018","0","0","3","1","7"
"Salmonella","Chicken_Sandiego_2019-2023","Chicken","2,023","Sandiego","Low","Increased","2019-2023","3","0","3","1","7"
