"Year","Month","State","Primary Mode","Etiology","Serotype or Genotype","Etiology Status","Setting","Illnesses","Hospitalizations","Info On Hospitalizations","Deaths","Info On Deaths","Food Vehicle","Food Contaminated Ingredient","IFSAC Category","Water Exposure","Water Type","Animal Type"
"1973","3","New Jersey","Water","Unknown",,"Suspected","Office/indoor workplace","2",,,"0",,,,,"Drinking water","Commercially-Bottled",
"1973","4","Maryland","Water","Salmonella enterica","Typhi","Confirmed","Farm/dairy/agricultural setting","2",,,"0",,,,,"Drinking water","Individual/Private",
"1973","6","New Jersey","Water","Unknown",,"Suspected","Camp/cabin","22",,,"0",,,,,"Drinking water","Other",
"1973","6","Pennsylvania","Water","Unknown",,"Suspected","Hotel/motel","38",,,"0",,,,,"Drinking water","Other",
"1973","6","Pennsylvania","Water","Unknown",,"Suspected","Hotel/motel","71",,,"0",,,,,"Drinking water","Other",
"1973","6","Arizona","Water","Shigella unknown",,"Confirmed","Private home/residence","2",,,"0",,,,,"Drinking water","Individual/Private",
"1973","6","Virginia","Water","Legionella pneumophila","unknown","Confirmed","Factory/industrial facility","12",,,,,,,,"Other/Environmental water",,
"1973","7","Oregon","Water","Unknown",,"Suspected","Unknown","29",,,"0",,,,,"Drinking water","Other",
"1973","7","Alaska","Water","Shigella unknown",,"Confirmed","Community/municipality","50",,,"0",,,,,"Drinking water","Community",
"1973","7","Arkansas","Water","Unknown",,"Suspected","Camp/cabin","225",,,"0",,,,,"Drinking water","Other",
"1973","7","Colorado","Water","Giardia duodenalis",,"Confirmed","Hotel/motel","16",,,"0",,,,,"Drinking water","Other",
"1973","7","Ohio","Water","Hepatitis A",,"Confirmed","Park - Other/Unspecified","35",,,"0",,,,,"Drinking water","Other",
"1973","7","Virginia","Water","Legionella pneumophila","unknown","Confirmed","Factory/industrial facility","10","9",,,,,,,"Other/Environmental water",,
"1973","8","Tennessee","Water","Giardia duodenalis",,"Confirmed","Farm/dairy/agricultural setting","5",,,"0",,,,,"Drinking water","Individual/Private",
"1973","8","New Jersey","Water","Unknown",,"Suspected","Camp/cabin","46",,,"0",,,,,"Drinking water","Other",
"1973","8","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","24",,,"0",,,,,"Drinking water","Other",
"1973","8","Pennsylvania","Water","Shigella sonnei",,"Confirmed","Fee-based facility/membership club","181",,,"0",,,,,"Drinking water","Other",
"1973","8","Arkansas","Water","Unknown",,"Suspected","Unknown","42",,,"0",,,,,"Drinking water","Other",
"1973","8","Connecticut","Water","Unknown",,"Suspected","Community/municipality","74",,,"0",,,,,"Drinking water","Community",
"1973","9","Pennsylvania","Water","Unknown",,"Suspected","Religious facility","153",,,"0",,,,,"Drinking water","Other",
"1973","10","Florida","Water","Unknown",,"Suspected","Factory/industrial facility","194",,,"0",,,,,"Drinking water","Community",
"1973","11","Vermont","Water","Giardia duodenalis",,"Confirmed","Community/municipality","32",,,"0",,,,,"Drinking water","Community",
"1973","12","Maryland","Water","Shigella unknown",,"Confirmed","Hospital","94",,,"2",,,,,"Drinking water","Other",
"1973","12","Vermont","Water","Giardia duodenalis",,"Confirmed","Community/municipality","20",,,"0",,,,,"Drinking water","Community",
"1973","12","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","145",,,"0",,,,,"Drinking water","Other",
"1974","1","Florida","Water","Shigella sonnei",,"Confirmed","Community/municipality","1,200",,,"0",,,,,"Drinking water","Community",
"1974","1","New Jersey","Water","Unknown",,"Suspected","Restaurant","57",,,"0",,,,,"Drinking water","Other",
"1974","2","Oregon","Water","Oil",,"Confirmed","Unknown","18",,,"0",,,,,"Drinking water","Community",
"1974","3","Idaho","Water","Unknown",,"Suspected","Restaurant","9",,,"0",,,,,"Drinking water","Community",
"1974","4","North Carolina","Water","Fluoride",,"Confirmed","School/college/university","213",,,"0",,,,,"Drinking water","Other",
"1974","6","New Hampshire","Water","Giardia duodenalis",,"Confirmed","Community/municipality","78",,,"0",,,,,"Drinking water","Community",
"1974","6","Washington","Water","Salmonella enterica","Typhi","Confirmed","Private home/residence","5",,,"0",,,,,"Drinking water","Individual/Private",
"1974","6","Colorado","Water","Giardia duodenalis",,"Confirmed","Hotel/motel","18",,,"0",,,,,"Drinking water","Other",
"1974","7","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","72",,,"0",,,,,"Drinking water","Other",
"1974","7","Alaska","Water","Salmonella unknown",,"Confirmed","Mobile home/trailer park","34",,,"0",,,,,"Drinking water","Community",
"1974","7","Wisconsin","Water","Phenol",,"Confirmed","Farm/dairy/agricultural setting","17",,,"0",,,,,"Drinking water","Individual/Private",
"1974","7","Ohio","Water","Shigella unknown",,"Confirmed","Park - State Park","6",,,"0",,,,,"Drinking water","Other",
"1974","8","Colorado","Water","Unknown",,"Suspected","Resort","85",,,"0",,,,,"Drinking water","Other",
"1974","8","Oregon","Water","Unknown",,"Suspected","Unknown","19",,,"0",,,,,"Drinking water","Community",
"1974","8","Oregon","Water","Unknown",,"Suspected","Community/municipality","400",,,"0",,,,,"Drinking water","Community",
"1974","8","Pennsylvania","Water","Shigella sonnei",,"Confirmed","Camp/cabin","600",,,"0",,,,,"Drinking water","Other",
"1974","8","New Hampshire","Water","Unknown",,"Suspected","Backcountry/wilderness area","7",,,"0",,,,,"Other/Environmental water",,
"1974","9","California","Water","Unknown",,"Suspected","Unknown","18",,,"0",,,,,"Other/Environmental water",,
"1974","9","Utah","Water","Giardia duodenalis",,"Confirmed","Backcountry/wilderness area","34",,,"0",,,,,"Other/Environmental water",,
"1974","9","Pennsylvania","Water","Legionella pneumophila","unknown","Confirmed","Hotel/motel","11",,,,,,,,"Undetermined water",,
"1974","9","New York","Water","Chromium",,"Confirmed","Office/indoor workplace","20",,,"0",,,,,"Drinking water","Community",
"1974","10","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","18",,,"0",,,,,"Drinking water","Other",
"1974","11","New York","Water","Giardia duodenalis",,"Confirmed","Community/municipality","4,800",,,"0",,,,,"Drinking water","Community",
"1974","12","Montana","Water","Unknown",,"Suspected","Resort","615",,,"0",,,,,"Drinking water","Other",
"1975","1","New Jersey","Water","Unknown",,"Suspected","Restaurant","390",,,"0",,,,,"Drinking water","Other",
"1975","2","Massachusetts","Water","Hepatitis A",,"Confirmed","Outdoor Area","17",,,"0",,,,,"Other/Environmental water",,
"1975","3","Puerto Rico","Water","Unknown",,"Suspected","Community/municipality","550",,,"0",,,,,"Drinking water","Community",
